object_id,lmax,error
5961,32,1.986316753844568
5961,36,1.8692867737383836
6125,4,8.092754138894644
6125,8,4.738280649951684
6125,12,3.641982382663445
6125,16,3.0595241533976405
6125,20,2.7387133490669946
6125,24,2.4830857552720573
6125,28,2.2874383216103045
6125,32,2.1307611466039518
6125,36,2.0180680953236343
5122,4,6.416822257640398
5122,8,4.094763841885308
5122,12,3.217530898707984
5122,16,2.7075325910396257
5122,20,2.4025380395880194
5122,24,2.1762668646774306
5122,28,2.003256536848231
5122,32,1.9043461475523067
5122,36,1.7906658101946633
925,4,6.354739950070666
925,8,4.020210991028826
925,12,3.1015062806377807
925,16,2.6765175374308363
925,20,2.4007022254852197
925,24,2.1813014860996254
925,28,1.9998688786275354
925,32,1.9169857869383726
925,36,1.7820763864892288
592,4,7.302610093421452
592,8,4.531832065536226
592,12,3.460123437229204
592,16,2.892443974432734
592,20,2.572811631207553
592,24,2.3019005399395174
592,28,2.151924479707563
592,32,2.0233183492931843
592,36,1.930821066247707
2686,4,7.473850524104228
2686,8,4.378609453519458
2686,12,3.4167572780183857
2686,16,2.9141506916754163
2686,20,2.5479386347177058
2686,24,2.3593499314574253
2686,28,2.1711932771230367
2686,32,2.051062660455587
2686,36,1.9084232950559992
6395,4,7.767736418471958
6395,8,4.845544421504346
6395,12,3.6684839858319545
6395,16,3.033716785774718
6395,20,2.682160548088757
6395,24,2.4323842090195096
6395,28,2.2561248148000344
6395,32,2.117446106716039
6395,36,2.0005384281534906
8930,4,6.577632771824553
8930,8,4.152283202583729
8930,12,3.219697162623992
8930,16,2.7502851282645753
8930,20,2.3924543308642128
8930,24,2.209402495797102
8930,28,2.019490352395126
8930,32,1.9132581948923133
8930,36,1.791985198608416
6615,4,5.710115043540823
6615,8,3.673208436312526
6615,12,2.9313848915483507
6615,16,2.4841553010179456
6615,20,2.233469143556167
6615,24,2.0614483713703247
6615,28,1.9018645185376613
6615,32,1.7769680971759365
6615,36,1.7175075511612328
8387,4,6.713817166177185
8387,8,4.135977879014184
8387,12,3.2736653720433275
8387,16,2.7592241709880785
8387,20,2.441762548444289
8387,24,2.243395530884519
8387,28,2.076749841480484
8387,32,1.9345173022058224
8387,36,1.8313126104186497
9156,4,7.271936055770305
9156,8,4.3510990617455345
9156,12,3.403050104153907
9156,16,2.8808888575194134
9156,20,2.5374220372984517
9156,24,2.3171306721220866
9156,28,2.1458276791529447
9156,32,1.997928139135919
9156,36,1.8826370679284794
4524,4,6.37393452015283
4524,8,4.020276787217401
4524,12,3.1290178324912947
4524,16,2.7098271082799155
4524,20,2.4776028135596295
4524,24,2.177243636113394
4524,28,2.0350583659742743
4524,32,1.9202615304366348
4524,36,1.8077446975487121
9503,4,6.756271117648683
9503,8,4.105282658425083
9503,12,3.1812948934069953
9503,16,2.66209136862038
9503,20,2.399493256326225
9503,24,2.2071501580951196
9503,28,2.0622289882692324
9503,32,1.9265982585334387
9503,36,1.8147746632834418
438,4,7.226268469781154
438,8,4.399240423056853
438,12,3.4106239128754585
438,16,2.894505307825471
438,20,2.555108840322692
438,24,2.308391472696556
438,28,2.1489768283269934
438,32,2.03178003065395
438,36,1.9606469710582066
7952,4,6.949834606452676
